month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Tamil Nadu,market_Avalurpet,market_Gingee,market_Kallakurichi,market_Kurinchipadi,market_Madagadipet,market_Manalurpet,market_Panruti,market_Thattanchavady,market_Thirukovilur,market_Thiruvannamalai,market_Thiryagadurgam,market_Tindivanam,market_Ulundurpettai,market_Valathi,market_Vellore,market_Vikkiravandi,market_Villupuram,market_Virudhachalam,year
,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2020
