month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Maharashtra,state_Mizoram,state_Odisha,state_Tripura,market_Champhai,market_Chowmanu,market_Dasda,market_Gandacharra,market_Garjee,market_Jumpuijala,market_Kalyanpur,market_Koraput,market_Koraput(Semilguda),market_Kulai,market_Lungli,market_New Market Aizawl,market_Nutanbazar,market_Pasighat,market_Rahuri(Vambori),market_Teliamura,market_Ziro,year
,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
