month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,market_Athani,market_Badami,market_Davangere,market_Hungund,market_Jamakhandi,market_Kanakapura,market_Kudchi,market_Ramdurga,market_Sindhanur,market_Soundati,market_Srinivasapur,variety_She Baffelo,variety_She Goat,variety_Sheep Large,variety_Sheep Medium,year
,,1,,,,,,,,,,1,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,1,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,1,,,,1,,,,2020
,1,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,1,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,1,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,1,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,1,,,,1,,,,2020
1,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,1,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,1,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,1,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,2020
