month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,market_Davangere,market_Gonikappal,market_Hassan,market_Holenarsipura,market_Hunsur,market_Kadur,market_Kanakapura,market_Koppa,market_Madikeri,market_Moodigere,market_Mulabagilu,market_Mysore (Bandipalya),market_Sakaleshpura,market_Shimoga,market_Shimogga(Theertahalli),market_Somvarpet,market_Udupi,variety_Sweet Potato,year
,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
