month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Odisha,state_West Bengal,market_Baripada,market_Bhawanipatna,market_Gunpur,market_Jeypore(Kotpad),market_Kendupatna,market_Kendupatna(Niali),market_Kesinga,market_Malkanagiri,market_Nabarangpur(Umerkote),market_Nawarangpur,market_Nedumkandam,market_Rayagada,market_Rayagada(Muniguda),market_Samsi,variety_Broken Rice,variety_Other,year
,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,1,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,1,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,1,1,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,1,1,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,1,1,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,1,1,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,1,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,1,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,1,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,,1,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,1,,2020
,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,2020
,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,1,,2020
,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,1,1,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,1,1,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,1,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,1,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,,,1,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,,1,,2020
,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,1,,2020
,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,2020
,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,1,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,,,1,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,,1,,2020
,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,1,,2020
,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,1,,2020
,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,1,1,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,1,1,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,1,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,2020
,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,1,,2020
,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,,2020
,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,2020
,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,2020
,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,2020
,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,2020
,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,2020
,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,2020
,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,2020
1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,2020
1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,2020
